"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30336","Login","firefox","Tue May 20 16:51:09 IST 2025","broken","Tue May 20 16:51:39 IST 2025","","03_Locators.spec.js","",""
"","8501","PopUps Demo Playwrite","chromium","Tue May 20 16:50:17 IST 2025","passed","Tue May 20 16:50:25 IST 2025","","09_Popups.spec.js","",""
"","7660","Element screenshot","chromium","Tue May 20 16:50:46 IST 2025","passed","Tue May 20 16:50:53 IST 2025","","21_ScreenshotPract.spec.js","",""
"","5793","Page screenshot","chromium","Tue May 20 16:50:47 IST 2025","passed","Tue May 20 16:50:52 IST 2025","","21_ScreenshotPract.spec.js","",""
"","7738","Auto Suggest Dropdown","chromium","Tue May 20 16:50:35 IST 2025","passed","Tue May 20 16:50:42 IST 2025","","16_AutoSuggestionDropdown.spec.js","",""
"","17993","Test Dropdown","webkit","Tue May 20 16:54:58 IST 2025","passed","Tue May 20 16:55:16 IST 2025","","14_Dropdown.spec.js","",""
"","17117","Multi Selected Items","webkit","Tue May 20 16:54:47 IST 2025","passed","Tue May 20 16:55:04 IST 2025","","15_MultiSelectDropdown.spec.js","",""
"","2608","Page Screenshot","chromium","Tue May 20 16:50:42 IST 2025","passed","Tue May 20 16:50:45 IST 2025","","20_Screenshot.spec.js","",""
"","24548","Element screenshot","webkit","Tue May 20 16:55:19 IST 2025","passed","Tue May 20 16:55:44 IST 2025","","21_ScreenshotPract.spec.js","",""
"","35090","Login","webkit","Tue May 20 16:54:04 IST 2025","broken","Tue May 20 16:54:39 IST 2025","","03_Locators.spec.js","",""
"","21902","Hidden Dropdown Test","webkit","Tue May 20 16:55:03 IST 2025","passed","Tue May 20 16:55:25 IST 2025","","17_HiddenDropdown.spec.js","",""
"","6088","Assertions Test","webkit","Tue May 20 16:54:14 IST 2025","passed","Tue May 20 16:54:20 IST 2025","","06_Assertions.spec.js","",""
"","15810","Dropdown for facebook","firefox","Tue May 20 16:52:11 IST 2025","passed","Tue May 20 16:52:27 IST 2025","","14_Dropdown.spec.js","",""
"","6374","Frame DragandDrop","webkit","Tue May 20 16:55:04 IST 2025","passed","Tue May 20 16:55:10 IST 2025","","18_FrameDragandDrop.spec.js","",""
"","3896","JS Alert - Validate Confirm Test and Click Cancel","chromium","Tue May 20 16:50:16 IST 2025","passed","Tue May 20 16:50:20 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","5156","Element Screenshot","webkit","Tue May 20 16:55:17 IST 2025","passed","Tue May 20 16:55:22 IST 2025","","20_Screenshot.spec.js","",""
